setid,Mole fraction of 1-butyl-1-methylpyrrolidinium hexafluorophosphate,"Temperature, K",Mole fraction of 1-butyl-3-methylpyridinium hexafluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NjlhD,0.48,353.15,0.4,101.3,1282,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.48,358.15,0.4,101.3,1278,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.48,363.15,0.4,101.3,1274,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.54,303.15,0.4,101.3,1320,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.54,308.15,0.4,101.3,1316,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.54,313.15,0.4,101.3,1312,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.54,318.15,0.4,101.3,1308,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.54,323.15,0.4,101.3,1304,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.54,328.15,0.4,101.3,1301,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.54,333.15,0.4,101.3,1296,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.54,338.15,0.4,101.3,1293,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.54,343.15,0.4,101.3,1289,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.54,348.15,0.4,101.3,1285,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.54,353.15,0.4,101.3,1282,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.54,358.15,0.4,101.3,1278,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
NjlhD,0.54,363.15,0.4,101.3,1274,Bouarab et al. (2020a),Density,Liquid,ABEocW,CCCC[n+]1cccc(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylpyridinium hexafluorophosphate,ABFwXH,CCCC[N+]1(C)CCCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpiperidinium hexafluorophosphate,ABDMYZ,CCCC[N+]1(C)CCCC1.F[P-](F)(F)(F)(F)F,1-butyl-1-methylpyrrolidinium hexafluorophosphate
