setid,"Temperature, K","Solvent: MolaLity of 1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate, mol/kg","MolaLity of L-ascorbic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cMBrb,313.15,0.3,0.1293,100,1029.4,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,313.15,0.3,0.1495,100,1030.5,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,313.15,0.3,0.1678,100,1031.6,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0,0,100,990.2,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0,0.0502,100,993.6,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0,0.0704,100,995,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0,0.0899,100,996.3,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0,0.1105,100,997.7,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0,0.1298,100,999,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0,0.1496,100,1000.3,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0,0.169,100,1001.6,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.05,0,100,996.2,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.05,0.0502,100,999.4,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.05,0.0707,100,1000.8,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.05,0.0905,100,1002,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.05,0.11,100,1003.3,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.05,0.1297,100,1004.6,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.05,0.1515,100,1006,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.05,0.1664,100,1007,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.1,0,100,1001.7,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.1,0.0502,100,1004.8,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.1,0.0692,100,1005.9,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.1,0.0879,100,1007,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.1,0.1087,100,1008.3,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.1,0.1293,100,1009.6,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.1,0.1507,100,1010.9,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.1,0.1668,100,1011.9,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.2,0,100,1011.3,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.2,0.0518,100,1014.3,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.2,0.07,100,1015.4,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.2,0.0907,100,1016.6,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.2,0.1105,100,1017.8,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.2,0.1298,100,1019,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.2,0.154,100,1020.4,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.2,0.1658,100,1021.1,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.3,0,100,1019.5,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.3,0.0507,100,1022.3,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.3,0.07,100,1023.3,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.3,0.0895,100,1024.4,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.3,0.1104,100,1025.6,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.3,0.1293,100,1026.6,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.3,0.1495,100,1027.8,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,318.15,0.3,0.1678,100,1028.8,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0,0,100,988,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0,0.0502,100,991.4,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0,0.0704,100,992.8,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0,0.0899,100,994.1,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0,0.1105,100,995.5,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0,0.1298,100,996.7,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0,0.1496,100,998,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0,0.169,100,999.3,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.05,0,100,994,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.05,0.0502,100,997.1,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.05,0.0707,100,998.4,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.05,0.0905,100,999.7,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.05,0.11,100,1000.9,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.05,0.1297,100,1002.2,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.05,0.1515,100,1003.6,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.05,0.1664,100,1004.6,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.1,0,100,999.5,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.1,0.0502,100,1002.4,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.1,0.0692,100,1003.6,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.1,0.0879,100,1004.7,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.1,0.1087,100,1005.9,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.1,0.1293,100,1007.2,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
cMBrb,323.15,0.1,0.1507,100,1008.5,Singh et al. (2017b),Density,Liquid,AAhtMm,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,L-ascorbic acid,ABgaDK,CCCCCC[n+]1cn(CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-hexyl-4-(4-sulfobutyl)-1H-1,2,4-triazolium trifluoromethanesulfonate",AADYJk,O,water
